id_equipo;vida_util_consumida;tasa_incidencias_tecnicas;tiempo_inactividad_acumulado;costo_mto_reactivo_acumulado;ubicacion_activo;estado_integridad_hardware;tipo_equipo
1;4767;0;0;5411;UDLAPARK;Bueno;Computadora de Escritorio
2;9477;3;108;26204;GRANADOS;Critico;Computadora de Escritorio
3;7053;5;1802;13411;UDLAPARK;Regular;Proyector
4;313;0;0;6957;UDLAPARK;Bueno;Computadora de Escritorio
5;2196;0;0;1927;UDLAPARK;Excelente;Laptop
6;1556;0;0;2383;UDLAPARK;Excelente;Computadora de Escritorio
7;1845;0;0;2919;COLON;Excelente;Computadora de Escritorio
8;8533;3;526;32688;UDLAPARK;Critico;Computadora de Escritorio
9;3885;3;702;3407;UDLAPARK;Bueno;Computadora de Escritorio
10;6368;4;1566;7119;UDLAPARK;Regular;Servidor
11;120;0;0;1307;UDLAPARK;Excelente;Laptop
12;7622;7;1599;18546;UDLAPARK;Critico;Servidor
13;6752;3;1113;13901;UDLAPARK;Regular;Laptop
14;1161;0;0;2928;UDLAPARK;Excelente;Proyector
15;1372;0;0;2449;COLON;Excelente;Computadora de Escritorio
16;831;0;0;142;UDLAPARK;Excelente;Laptop
17;867;0;0;2227;GRANADOS;Excelente;Servidor
18;4351;1;393;598;UDLAPARK;Bueno;Computadora de Escritorio
19;4778;0;0;5179;UDLAPARK;Bueno;Proyector
20;1038;0;0;354;GRANADOS;Excelente;Computadora de Escritorio
21;3707;3;961;2381;UDLAPARK;Bueno;Laptop
22;1752;0;0;1617;UDLAPARK;Excelente;Laptop
23;1682;0;0;1122;COLON;Excelente;Servidor
24;3456;0;0;7526;UDLAPARK;Bueno;Computadora de Escritorio
25;4182;1;386;677;UDLAPARK;Bueno;Servidor
26;5181;5;1276;10848;UDLAPARK;Regular;Computadora de Escritorio
27;1255;0;0;1309;UDLAPARK;Excelente;Computadora de Escritorio
28;388;2;449;5829;UDLAPARK;Bueno;Computadora de Escritorio
29;4627;0;0;2041;UDLAPARK;Bueno;Computadora de Escritorio
30;1051;0;0;2987;UDLAPARK;Excelente;Computadora de Escritorio
31;3648;2;737;437;UDLAPARK;Bueno;Proyector
32;1202;0;0;1133;UDLAPARK;Excelente;Laptop
33;909;0;0;198;UDLAPARK;Excelente;Servidor
34;9398;5;823;22635;UDLAPARK;Critico;Proyector
35;9118;2;553;29071;UDLAPARK;Critico;Computadora de Escritorio
36;5969;3;523;14182;UDLAPARK;Regular;Computadora de Escritorio
37;50;0;0;1768;UDLAPARK;Excelente;Proyector
38;1877;0;0;1356;GRANADOS;Excelente;Laptop
39;5818;4;131;12419;UDLAPARK;Regular;Laptop
40;4153;1;317;3297;UDLAPARK;Bueno;Proyector
41;2033;0;0;2943;GRANADOS;Excelente;Computadora de Escritorio
42;3794;1;196;655;UDLAPARK;Bueno;Proyector
43;888;0;0;2088;UDLAPARK;Excelente;Proyector
44;9655;2;56;33555;UDLAPARK;Critico;Proyector
45;571;0;0;1007;COLON;Excelente;Computadora de Escritorio
46;5369;5;843;11083;COLON;Regular;Computadora de Escritorio
47;1275;0;0;2314;UDLAPARK;Excelente;Servidor
48;4162;2;714;673;UDLAPARK;Bueno;Proyector
49;3239;0;0;3072;UDLAPARK;Bueno;Laptop
50;1848;0;0;1526;UDLAPARK;Excelente;Computadora de Escritorio
51;7868;7;1822;16625;UDLAPARK;Critico;Proyector
52;7753;3;1008;11956;UDLAPARK;Regular;Computadora de Escritorio
53;9651;7;1869;39202;GRANADOS;Critico;Computadora de Escritorio
54;8597;4;649;36311;UDLAPARK;Critico;Proyector
55;3513;0;0;231;UDLAPARK;Bueno;Proyector
56;8195;4;1364;26183;GRANADOS;Critico;Computadora de Escritorio
57;106;0;0;1311;UDLAPARK;Excelente;Computadora de Escritorio
58;1635;0;0;1742;UDLAPARK;Excelente;Laptop
59;1248;0;0;127;UDLAPARK;Excelente;Computadora de Escritorio
60;1196;0;0;1989;UDLAPARK;Excelente;Computadora de Escritorio
61;3952;1;299;2541;GRANADOS;Bueno;Laptop
62;649;0;0;2878;GRANADOS;Excelente;Laptop
